Date,Close,Open,High,Low,Volume,%Change
2018-04-02,6240.57,6194.51,6240.57,6168.37,5900000000.0,0.83
2018-04-03,6229.01,6212.77,6234.57,6202.13,6180000000.0,-0.19
2018-04-04,6157.1,6240.98,6250.14,6137.16,7270000000.0,-1.15
2018-04-05,6183.23,6194.1,6211.87,6176.7,6210000000.0,0.42
2018-04-06,6175.05,6184.87,6192.42,6165.2,5970000000.0,-0.13
2018-04-09,6246.13,6179.38,6246.13,6178.18,6430000000.0,1.15
2018-04-10,6325.82,6244.35,6334.47,6243.0,6390000000.0,1.28
2018-04-11,6360.93,6352.6,6380.35,6349.64,7270000000.0,0.56
2018-04-12,6310.8,6351.05,6356.15,6289.86,6510000000.0,-0.79
2018-04-13,6270.33,6322.95,6335.2,6270.33,5580000000.0,-0.64
2018-04-16,6286.75,6279.63,6305.03,6262.24,5700000000.0,0.26
2018-04-17,6285.76,6290.86,6303.97,6259.59,9240000000.0,-0.02
2018-04-18,6320.01,6302.98,6320.01,6297.95,7970000000.0,0.54
2018-04-19,6355.9,6321.22,6355.9,6319.58,7500000000.0,0.57
2018-04-20,6337.69,6356.0,6360.32,6314.2,6020000000.0,-0.29
2018-04-23,6308.15,6328.65,6335.45,6298.38,6210000000.0,-0.47
2018-04-24,6229.64,6313.72,6316.7,6225.55,5860000000.0,-1.24
2018-04-25,6079.85,6219.76,6220.04,6070.79,5840000000.0,-2.4
2018-04-26,5909.2,6080.38,6089.1,5894.15,6770000000.0,-2.81
2018-04-27,5919.24,5968.88,5997.5,5885.34,5520000000.0,0.17
2018-04-30,5994.6,5937.07,6005.88,5936.53,5920000000.0,1.27
2018-05-02,6012.24,5999.36,6012.94,5970.4,6780000000.0,0.29
2018-05-03,5858.73,5990.16,5996.49,5858.73,6110000000.0,-2.55
2018-05-04,5792.35,5849.31,5855.11,5768.38,5240000000.0,-1.13
2018-05-07,5885.1,5814.96,5885.1,5808.19,5290000000.0,1.6
2018-05-08,5774.72,5862.78,5866.08,5752.8,5780000000.0,-1.88
2018-05-09,5907.94,5734.18,5917.82,5716.65,6630000000.0,2.31
2018-05-11,5956.83,5923.09,6023.04,5921.19,6680000000.0,0.83
2018-05-14,5947.15,5933.46,5947.15,5853.44,5620000000.0,-0.16
2018-05-15,5838.12,5926.08,5940.42,5833.64,6450000000.0,-1.83
2018-05-16,5841.46,5780.88,5841.46,5738.58,6230000000.0,0.06
2018-05-17,5815.92,5854.87,5898.3,5815.92,6740000000.0,-0.44
2018-05-18,5783.31,5831.05,5843.45,5783.31,5550000000.0,-0.56
2018-05-21,5733.85,5779.24,5786.39,5719.48,6370000000.0,-0.86
2018-05-22,5751.12,5767.63,5813.43,5751.12,6740000000.0,0.3
2018-05-23,5792.0,5764.42,5850.54,5764.31,6060000000.0,0.71
2018-05-24,5946.54,5833.62,5954.31,5833.35,7150000000.0,2.67
2018-05-25,5975.74,5957.43,6003.24,5949.52,5870000000.0,0.49
2018-05-28,6068.32,5979.62,6080.51,5977.0,6680000000.0,1.55
2018-05-30,6011.06,6037.43,6095.83,6001.8,7700000000.0,-0.94
2018-05-31,5983.59,6037.26,6055.02,5934.8,9190000000.0,-0.46
2018-06-04,6014.82,6004.12,6032.99,6001.2,7790000000.0,0.52
2018-06-05,6088.79,6031.37,6088.79,6025.56,7120000000.0,1.23
2018-06-06,6069.71,6083.92,6096.72,6063.34,6840000000.0,-0.31
2018-06-07,6106.7,6090.98,6116.43,6077.86,6110000000.0,0.61
2018-06-08,5993.63,6083.33,6096.66,5987.33,5400000000.0,-1.85
2018-06-20,5884.04,5941.79,5947.78,5834.14,6240000000.0,-1.83
2018-06-21,5822.33,5890.06,5922.7,5815.45,5140000000.0,-1.05
2018-06-22,5821.81,5820.19,5837.65,5787.68,5880000000.0,-0.01
2018-06-25,5859.08,5850.31,5891.48,5801.59,5490000000.0,0.64
2018-06-26,5825.65,5831.6,5878.04,5820.75,5910000000.0,-0.57
2018-06-27,5787.55,5832.59,5859.6,5787.55,5560000000.0,-0.65
2018-06-28,5667.32,5791.58,5801.35,5661.01,6010000000.0,-2.08
2018-06-29,5799.24,5691.69,5799.24,5682.66,6530000000.0,2.33
